Table: Table_1

Rotfrukter. ;;Spa- ;Gräs och foderväxter ;andra ;Andra ;;H ;ö s t ;$ ã ;d. ;;;V ;à r ;s ã d: ;S t ;r à 8 ;ä d. ;;;
Potatis. ;Andra rot- ;nads- väx- ;till bete ;till hö- ;växt- slag. ;Träde. ;;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;;Korn. ;Hafre. ;;Blandsäd. ;;
;frukt. ;ter. ;o. grönf. ;skörd. ;;;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;
H ;e k ;t ;a r. ;;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
73 ;221 ;- ;74 ;398 ;5 ;55 ;202 ;3,630 ;417 ;1,529 ;- ;- ;24 ;224 ;450 ;4,500 ;356 ;2,262 ;1,088 ;6,888 ;
2,774 ;2,147 ;- ;2,550 ;9,090 ;41 ;3,608 ;1,982 ;26,221 ;13,158 ;92,632 ;25 ;243 ;416 ;3,892 ;4,704 ;40,774 ;20,548 ;139,177 ;20,661 ;160,480 ;
;;;;;;;;;;;;;;;;;;;;;
44 ;89 ;- ;135 ;288 ;- ;131 ;81 ;990 ;411 ;2,871 ;- ;- ;- ;- ;217 ;2,160 ;604 ;6,191 ;410 ;5,412 ;
49 ;237 ;- ;67 ;319 ;3 ;78 ;502 ;6,231 ;270 ;1,890 ;- ;- ;3 ;28 ;636 ;6,360 ;548 ;5,480 ;330 ;3,069 ;
8 ;15 ;- ;53 ;65 ;- ;33 ;78 ;930 ;96 ;960 ;- ;- ;- ;- ;168 ;1,736 ;160 ;1,640 ;173 ;2,080 ;
26 ;70 ;- ;41 ;191 ;- ;69 ;135 ;1,620 ;196 ;1,984 ;- ;- ;- ;- ;276 ;2,852 ;280 ;2,100 ;410 ;3,690 ;
15 ;90 ;- ;35 ;129 ;2 ;44 ;208 ;2,573 ;97 ;672 ;- ;- ;- ;- ;297 ;2,970 ;288 ;2,880 ;180 ;1,674 ;
52 ;45 ;- ;76 ;211 ;;115 ;112 ;1,350 ;285 ;1,995 ;- ;-- ;- ;- ;300 ;3,000 ;396 ;3,960 ;300 ;3,780 ;
118 ;233 ;- ;309 ;187 ;1 ;54 ;275 ;3,300 ;483 ;4,830 ;- ;- ;- ;- ;441 ;6,027 ;464 ;4,640 ;6731 ;6,262 ;
236 ;267 ;- ;141 ;576 ;2 ;115 ;125 ;1,250 ;885 ;8,260 ;- ;- ;12 ;112 ;378 ;3,906 ;608 ;4,712 ;1,075 ;9,690 ;
77 ;133 ;-- ;107 ;592 ;- ;285 ;580 ;7,192 ;423 ;4,371 ;32 ;324 ;- ;- ;1,035 ;10,350 ;1,208 ;9,362 ;1,065 ;9.630 ;
16 ;77 ;- ;37 ;130 ;2 ;35 ;187 ;3,000 ;63 ;778 ;- ;- ;- ;- ;213 ;2,840 ;128 ;1,312 ;206 ;2,542 ;
637 ;1,256 ;- ;1,001 ;2,688 ;10 ;959 ;2,283 ;28,436 ;3,209 ;28,611 ;32 ;324 ;15 ;140 ;3,961 ;42,201 ;4,684 ;42,277 ;4,822 ;47,829 ;
;;;;;;;;;;;;;;;;;;;;;
16 ;139 ;- ;83 ;120 ;2 ;32 ;285 ;3,534 ;93 ;961 ;- ;-- ;- ;- ;420 ;4,340 ;268 ;3,350 ;119 ;1,548 ;
15 ;102 ;- ;83 ;117 ;1 ;77 ;225 ;2,790 ;126 ;1,302 ;2 ;27 ;3 ;28 ;462 ;4,774 ;300 ;3,750 ;303 ;3,913 ;
29 ;194 ;- ;115 ;185 ;;85 ;193 ;2,387 ;393 ;4,061 ;2 ;27 ;3 ;28 ;603, ;6,231 ;536 ;6,700 ;499 ;6,450 ;
44 ;182 ;- ;153 ;330 ;2 ;79 ;515 ;8,240 ;279 ;3,162 ;- ;- ;- ;- ;621 ;6,210 ;756 ;7,560 ;390 ;6,680 ;
27 ;183 ;- ;105 ;152 ;6 ;42 ;225 ;3,600 ;165 ;1,870 ;3 ;27 ;- ;- ;492 ;4,920 ;393 ;3,920 ;343 ;4,320 ;
58 ;289 ;- ;284 ;441 ;- ;171 ;582 ;8,920 ;540 ;4,030 ;- ;-- ;- ;- ;969 ;12,920 ;828 ;12,627 ;646 ;9,894 ;
24 ;152 ;- ;91 ;111 ;1 ;65 ;280 ;4,520 ;102 ;1,054 ;- ;- ;6 ;56 ;603 ;8,040 ;396 ;6,039 ;313 ;4,794 ;
213 ;1,241 ;- ;914 ;1,456 ;12 ;551 ;2,305 ;33,991 ;1,698 ;16,440 ;7 ;81 ;12 ;112 ;4,170 ;47.435 ;3,476 ;43,946 ;2,613 ;37,599 ;
