Table: Table_1

1. ;42. ;43. ;II 44. ;45. ;46. ;47. ;/ 48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;57. ;58. ;59. ;62. ;63. I ;64. ;67. ;68. ;72. ;73. ;74 ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;83. ;
;;;;;;;U ;t S ;ã d ;e o ;c h ;B ;* ;õ r ;d. ;;;;;;;Vidd jordförbättringar. ;;;;Antal ;vid m ;idten af ;juli ;manad ;;erhallna ;kreatur ;m. m. ;;
;;VArsão: ;;;Baljväxter. ;;;;Rotfrnkte ;;Lin ;och ;hampa, ;Gräs o. ;andra ;fodervärter. ;;Andra ;;viztelag. ;;Under- dikning ;Angs- ;Antal ;Hästar. ;;;;;Ungnöt ;;;;;;
Omrâde. ;;Arter. ;Bönor. ;;;Vicker. ;;Potatis, ;Foder- rotfrakter. ;Socker- betor. ;Frö. ;;Spanads- ämne. ;Frö timotej- ;(klöfver-, o. d.). ;Hö (frân odlad jord). ;Bohvete. ;;Tobak. ;Grön- rotsaker ;och ;(täck- dik- ;vatt- ning. ;frukt- träd. ;Öfver ;Under ;Oxar. ;Tjurar. ;Kor. ;(under 2 &r) ;Far och ;Getter och killin- ;Svin och ;Bi- sam- ;Höns, kalkoner gäss och ;
(Socknar och härad samt städer.) ;Utsüde ;Skörd. ;Utsüde ;Skörd ;Utsäde ;Skörd. ;Utsäde, ;Skörd. ;Skörd. ;Skörd. ;;;Skörd. ;Utsüde. ;Skörd. ;Skörd. ;Utsäde. ;Skörd. ;Skörd. ;Utsäde ;Skörd. ;ning). ;;;ir. ;3 och föl. ;;;;och kalfvar. ;lamm. ;gar. ;grisar. ;hällen. ;ankor. ;
;;;H ;e k ;t ;o 1 ;i t ;e r. ;;Deciton. ;Hektoliter ;;;D ;e o ;n. ;;Hektoliter. ;Decit. ;;Hektoliter. ;Hektar ;;;;;;;;;;;;;;
25 Vollsjö ;- ;- ;- ;- ;72 ;551 ;3,234 ;18,816 ;36.808 ;3,040 ;- ;- ;- ;64 ;- ;16.065 ;- ;;- ;- ;1,000 ;794 ;2 ;2,535 ;263 ;71 ;48 ;24 ;931 ;545 ;240 ;- ;1,427 ;118 ;3,660 25 ;
26 V&mb ;;;- ;- ;;;2,904 ;13,100 ;15,000 ;;- ;- ;- ;18 ;- ;3,472 ;9 ;180 ;;- ;;699 ;190 ;546 ;122 ;62 ;2 ;9 ;290 ;307 ;278 ;- ;329 ;13 ;916 26 ;
27| Västerstad ;10 ;96 ;- ;- ;22 ;171 ;3,322 ;36.240 ;99,246 ;;- ;- ;- ;120 ;- ;29,016 ;- ;- ;- ;- ;1,000 ;837 ;2 ;3,521 ;402 ;70 ;- ;30 ;1,497 ;600 ;521 ;- ;1,877 ;79 ;5,666 27 ;
28 Östraby ;- ;;- ;- ;50 ;380 ;6,424 ;49,932 ;64,000 ;7,020 ;- ;- ;- ;116 ;- ;46,440 ;- ;;;;1,500 ;1,519 ;2 ;3,703 ;207 ;137 ;2 ;47 ;1,678 ;908 ;657 ;1 ;2,687 ;51 ;7,109 28 ;
29) Ostra Kärrstorp ;3 ;24 ;;- ;10 ;76 ;2,024 ;13,156 ;36,500 ;4,480 ;- ;- ;- ;73 ;- ;29,140 ;- ;- ;- ;- ;1,000 ;1,510 ;6 ;2.047 ;237 ;42 ;2 ;26 ;807 ;412 ;233 ;1 ;1,031 ;39 ;2,894 29 ;
30 Õved ;27 ;264 ;- ;- ;5 ;38 ;1,606 ;13,651 ;62,832 ;45,220 ;- ;- ;- ;59 ;- ;10,348 ;- ;- ;- ;- ;2,500 ;1,512 ;168 ;1.217 ;196 ;39 ;- ;23 ;681 ;552 ;82 ;- ;540 ;14 ;919 30 ;
Färs härad ;175 ;1,900 ;- ;- ;681 ;5,906 ;61,050 ;478,719 ;987,229 ;111,260 ;- ;- ;- ;1,366 ;- ;385,832 ;12 ;240 ;- ;- ;13,500 ;22,898 ;705 ;40,948 ;5,041 ;1,721 ;63 ;545 ;16,134 ;9,548 ;8,206 ;32 ;22,636 ;964 ;59,769 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31 Baldringe ;12 ;120 ;;;7 ;57 ;968 ;6,600 ;27,979 ;12,800 ;- ;- ;- ;43 ;1 ;14,400 ;- ;- ;- ;- ;;1,087 ;100 ;1,082 ;141 ;96 ;- ;14 ;404 ;285 ;245 ;- ;629 ;13 ;1,034 31 ;
32 Bjäresjö ;37 ;360 ;5 ;42 ;5 ;38 ;1,078 ;17,493 ;27,408 ;56,700 ;;- ;- ;48 ;- ;12,760 ;- ;- ;- ;;1,500 ;1,511 ;;1,570 ;227 ;38 ;- ;22 ;708 ;502 ;296 ;- ;774 ;23 ;2,251 32 ;
33 Borrie ;3 ;24 ;- ;- ;;;198 ;1,026 ;10,205 ;600 ;- ;- ;- ;10 ;- ;3,640 ;- ;- ;- ;- ;;358 ;1 ;301 ;56 ;35 ;- ;5 ;134 ;82 ;53 ;- ;153 ;7 ;451 33 ;
34 Bromma (35) Hedeskoga ;22 12 ;216 120 ;- ;- - ;30 4 ;228 38 ;572 286 ;5,200 4,641 ;39,984 13,133 ;4,760 20,400 ;- ;- - ;- - ;29 29 ;- - ;7,640 5,160 ;- - ;- ;- ;;1,000 ;333 474 ;1 1 ;190 1,225 ;179 163 ;39 24 ;- - ;4 36 ;419 495 ;251 181 ;188 124 ;- 1 ;723 237 ;29 ;1,843 84 ;
36 Högestad ;10 ;96 ;- ;- ;;;1,144 ;21,840 ;16,559 ;4,760 ;- ;- ;- ;32 ;- ;10,550 ;- ;- ;- ;- ;;800 ;2 ;566 ;109 ;46 ;- ;12 ;308 ;231 ;180 ;- ;352 ;50 18 ;1,537 35 706 36 ;
37 Stora Herrestad ;;72 ;- ;;7 ;57 ;2,574 ;14,976 ;59.990 ;52.160 ;- ;- ;- ;46 ;- ;17,922 ;1 ;20 ;;- ;;1,346 ;;4,864 ;260 ;101 ;;17 ;765 ;386 ;112 ;;1,013 ;39 ;2,129 37 ;
38 Stora Köpinge ;20 ;112 ;32 ;273 ;7 ;57 ;5,192 ;50,504 ;64,974 ;49,280 ;- ;- ;- ;86 ;- ;20,195 ;1 ;20 ;- ;- ;500 ;1,741 ;3 ;3,488 ;363 ;69 ;;36 ;945 ;670 ;614 ;11 ;1.089 ;137 ;4.142 38 ;
39 Söfvestad ;115 ;980 ;- ;- ;95 ;722 ;1,606 ;14,016 ;93.840 ;10,240 ;- ;- ;- ;89 ;- ;20,685 ;- ;- ;- ;;;2.528 ;16 ;2,481 ;387 ;160 ;2 ;32 ;840 ;704 ;673 ;5 ;1,020 ;47 ;3,025 39 ;
40 Òja ;;-- ;- ;- ;- ;- ;330 ;3,420 ;13,005 ;21,420 ;- ;- ;- ;20 ;- ;5,280 ;- ;- ;- ;- ;1,000 ;463 ;2 ;1,713 ;117 ;7 ;3 ;13 ;272 ;94 ;105 ;;244 ;9 ;870 40 ;
Herrestads härad ;238 ;2,100 ;37 ;315 ;155 ;1,197 ;18,948 ;139,716 ;367.077 ;233,120 ;- ;- ;- ;432 ;1 ;118,292 ;2 ;40 ;- ;- ;4,000 ;10,641 ;126 ;17,480 ;2,002 ;615 ;5 ;191 ;5,290 ;3,389 ;2,590 ;17 ;6,234 ;372 ;17,988 ;
41 Balkakra ;12 ;120 ;- ;- ;3 ;19 ;352 ;2.848 ;17.136 ;36.800 ;- ;- ;- ;18 ;- ;4,800 ;- ;- ;- ;- ;1,000 ;773 ;63 ;1.064 ;158 ;29 ;- ;16 ;473 ;288 ;76 ;- ;214 ;9 ;1,092 41 ;
42 Katslösa ;17 ;168 ;;;20 ;152 ;330 ;2,670 ;24,276 ;21,760 ;- ;- ;- ;18 ;- ;4,680 ;1 ;20 ;- ;;;781 ;3 ;2,469 ;171 ;17 ;- ;6 ;396 ;236 ;98 ;;295 ;43 ;2,765 42 ;
43 Sjörup ;27 ;264 ;5 ;42 ;20 ;152 ;638 ;5.162 ;61,404 ;35,560 ;- ;- ;- ;28 ;- ;7,400 ;- ;- ;- ;- ;;1,284 ;5 ;3,140 ;212 ;24 ;- ;10 ;616 ;452 ;193 ;1 ;576 ;2 ;4.244 43 ;
44) Skârby ;35 ;336 ;- ;- ;10 ;76 ;968 ;9,108 ;26,334 ;16,800 ;- ;- ;- ;50 ;- ;19,860 ;- ;- ;;- ;1,000 ;1,501 ;7 ;2.932 ;226 ;52 ;- ;19 ;671 ;506 ;299 ;- ;607 ;41 ;2,508 44 ;
