;1. ;2. ;3. 4. ;5. ;6. ;7. Il ;8. 9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;I 20. ;21. I ;22. ;23. I 24. ;25. ;26. ;27. ;28. 29. ;30. ;31. ;32. ;33. ;34. ;35 ;36. ;37. ;38. ;39. ;40. ;41. 1 ;
;;;;Däraf ;antal ;brukningsdelar, ;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;o d 1 ;a d a ;g o V ;d d e ;n 8 a n V ;ä n d ;n i n ;g. ;;;U t ;s ã ;d ;e ;o c ;h $ ;k ö ;r d ;;;;
;;Nu- ;Antal bruk- ;Ägarne brukningsdelar ;själfva: med ;odlad ;Brukare (af brukningsdelar ;andras med ;jord): odlad ;jord- torp och ;ägo- vidden ;Träd- humle- ;Aker och ;Natur- ;Skog- ;;Varsäd. ;;Rotfrukter. ;;Gräs och Spa- foderväxter ;andra ;Andra ;;H ö 8 t ;$ ã ;d. ;;;V ;& ;S ä d: ;S t ;r à 8 ;ä d. ;;do ;
;Omrâde. ;varande mantal. ;nings- ;jord ;om ;;jord ;om ;;andra jord- ;(utan ;och kâl- ;aunan odlad ;lig äng. ;bäran- de ;Höst- säd. ;Strasäd ;Balj- vüx- ;Potatis ;Andra rot- ;nads- väx- till bete ;till hö- ;växt- slag. ;Träde. ;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;Korn. ;;Hafre. ;;Blandsäd. ;;
;(Socknar och härad samt städer.) ;;delar. högst 2 t ;öfver m. ;20 o. m. ;öfver 100 ;högst öfver 2hek-|t m. ;2ofver 20 m. ;öfver 100 ;lügen- ;vatten) ;gärd. ;jord. ;;mark. ;;;ter. ;;frukt. ;ter. grönf. ;skörd. ;;;Utsäde Skörd. ;Utsüde ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsüde ;Skörd. ;
;;;hektar. ;20 har. ;100 har. ;har. ;tar. 20 har ;100 har. ;har. ;heter. ;;H ;k t ;a r. ;;;;;H ;e k ;t a r. ;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
;Ostra Strö 12 Ostra Aspinge ;9.375 16 880 ;123 47 132 23 ;62 90 ;5 12 ;- - ;4 1 5 ;5 1 ;- - ;5 32 ;1,609 3,465 ;23 16 ;1,370 1,113 ;15 173 ;95 637 ;194 128 ;447 440 ;14 9 ;49 85 ;105 66 ;- 150 - 62 ;322 249 ;1 - ;88 74 ;152 2,535 - ;399 384 ;8,990 2,688 ;5 - ;54 ;48 ;448 ;345 75 ;3,450 750 ;252 1,200 ;1,953 12,000 ;892 326 ;9,380 11 3,038 12 ;
;Frosta härad ;412-166 ;2,808 450 ;1,745 ;247 ;24 ;31 1St ;100 ;30 ;706 ;70,405 ;800 ;37,878 ;2,392 ;11,197 ;5,381 ;12,678 ;192 ;1,928 ;2,838 ;- 3,672 ;8,638 ;37 ;2,514 ;2,731 35,434 ;12,921 ;90,800 ;42 ;402 ;357 ;3,204 ;5,340 ;48,959 ;22.216 ;172,879 ;17,300 ;163,171 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13| Björka ;4:542 ;22 2 ;11 ;5 ;;;4 ;- ;;961 ;9 ;364 ;93 ;391 ;47 ;137 ;16 ;37 ;22 ;- 1 ;73 ;;31 ;5 80 ;135 ;900 ;- ;;- ;- ;42 ;322 ;228 ;1,740 ;216 ;1,365 1 ;
14 ;Brandstad ;10-565 ;134 34 ;67 ;11 ;1 ;1 12 ;6 ;2 ;15 ;2,067 ;30 ;1,787 ;47 ;81 ;270 ;597 ;16 ;48 ;161 ;- 145 ;425 ;2 ;123 ;342 4,247 ;399 ;2,793 ;3 ;27 ;;;438 ;4,526 ;808 ;7.919 ;819 ;10,086 14 ;
;15 Frenninge ;22:084 ;244 15 ;133 ;76 ;1 ;1 13 ;5 ;- ;12 ;5,785 ;61 ;4,013 ;512 ;330 ;473 ;1,272 ;152 ;405 ;219 ;- 213 ;928 ;1 ;380 ;200 2,040 ;1,215 ;9,315 ;- ;;6 ;56 ;741 ;5,434 ;1,936 ;9,680 ;1,791 ;10,760| : ;
16 ;Ilstorp 17| Lângaröd ;6-583 21-417 ;25 1 272 53 ;8 184 ;1 15 ;1 - ;1 4 15 ;9 5 ;;- 22 ;1,058 5,030 ;6 19 ;924 2,019 ;41 291 ;39 1,060 ;139 215 ;215 793 ;5 ;65 178 ;38 66 ;- 82 - 107 ;229 496 ;2 ;156 157 ;;417 645 ;2.780 6,450 ;- 5 ;54 ;42 ;392 ;42 99 ;280 693 ;388 2,140 ;2,910 10,700 ;416 696 ;2,184 6,270 ;
;18 Löfvestad ;20-682 ;270, 18 ;204 ;39 ;;1 3 ;1 ;4 ;;5,420 ;63 ;3,918 ;257 ;417 ;536 ;1,449 ;11 ;331 ;191 ;- 213 ;885 ;3 ;299 ;115 1.380 ;1,470 ;9,800 ;3 ;27 ;;;465 ;3,100 ;2,332 ;17,490 ;2,364 ;14,910 ;
;19 Ramsãsa ;8:854 ;60 4 ;39 ;11 ;;3 ;3 ;;1 ;1,245 ;13 ;936 ;37 ;114 ;122 ;326 ;6 ;70 ;53 ;- 250 ;15 ;2 ;94 ;12 100 50 400 ;351 690 ;2,457 4,830 ;- ;- ;6 5 ;56 56 ;126 201 ;882 1,407 ;500 1,108 ;2,625 ;519 845 ;3,276) ;
20 ;Rödinge ;16:875 ;69 18 ;11 ;5 ;2 ;11 13 2 ;7 ;2 ;25 ;2,236 ;15 ;1,735 ;201 ;180 395 ;250 300. ;600 ;6 ;125 168 ;74 ;- 111 ;363 400 ;;204 ;105 1,260 ;771 ;2,827 ;3 ;27 ;66 ;616 ;99 ;990 ;864 ;6,672 5,616 ;895 ;5,334 ;
