Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. Il ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;
;;;;;Däraf ;antal ;brukningsdelar, ;;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;0 d 1 ;a d e ;
;Omrâde. ;Nu- varande ;Antal bruk- nings- ;;Ägarne brukningsdelar jord ;själfva: med om ;odlad ;Brukare ;(af brukningsdelar jord ;andras med om ;jord): odlad ;jord- torp och andra ;ägo- vidden (utan ;Träd-, humle- och ;Áker och aunan ;Natur- lig ;Skog- bäran- de ;Höst- süd. ;Varsäd. ;Balj- ;
;(Socknar och härad ;mantal. ;delar. ;högst ;öfver 2 ;öfver 20 ;öfver ;högst ;öfver 2 ;öfver 20 ;öfver ;jord- ;vatten). ;kâl- ;odlad ;äng. ;mark. ;;Strasäd. ;väx- ;
;samt städer.) ;;;2 ;t. o. m. ;t. o. m. ;100 ;hek- ;t. o. m. ;t. m. ;100 ;lägen- ;;gärd. ;jord. ;;;;;ter. ;
;;;;hektar ;20 har. ;100 har. ;har. ;tar. ;20 har. ;100 har. ;har. ;heter. ;;H e ;k t ;a r. ;;;;;
23 ;Tolânga ;20-625 ;247 ;31 ;156 ;33 ;- ;4 ;9 ;13 ;1 ;7 ;4,062 ;40 ;3,018 ;151 ;477 ;365 ;1,101 ;27 ;
24 ;Vanstad ;17-844 ;202 ;42 ;135 ;13 ;1 ;;5 ;5 ;1 ;4 ;2,586 ;39 ;2,124 ;55 ;141 ;293 ;715 ;6 ;
25 ;Vollsjö ;10:417 ;182 ;42 ;118 ;15 ;1 ;2 ;3 ;1 ;;- ;1,971 ;27 ;1,501 ;71 ;268 ;197 ;481 ;29 ;
26 ;Vamb ;4:750 ;28 ;- ;- ;-- ;- ;- ;13 ;11 ;4 ;12 ;2,894 ;13 ;1,065 ;329 ;1,113 ;190 ;210 ;;
27 ;Västerstad ;20 812 ;306 ;60 ;212 ;22 ;- ;- ;7 ;5 ;- ;- ;3,154 ;42 ;2,759 ;27 ;102 ;346 ;922 ;13 ;
28 ;Ostraby ;24 729 ;320 ;36 ;245 ;21 ;- ;1 ;12 ;3 ;2 ;- ;4,291 ;46 ;3,131 ;182 ;274 ;399 ;1,163 ;21 ;
29 ;Ostra Kärrstorp ;14:750 ;140 ;25 ;91 ;14 ;1 ;2 ;5 ;2 ;- ;11 ;2,155 ;25 ;1,681 ;26 ;115 ;202 ;610 ;5 ;
30 ;Oved ;26896 ;39 ;- ;- ;- ;1 ;- ;24 ;9 ;5 ;78 ;3,604 ;46 ;1,675 ;183 ;1,548 ;261 ;574 ;14 ;
;Färs bärad ;306-841 ;2,864 ;414 ;1,774 ;300 ;16 ;27 ;176 ;135 ;22 ;206 ;58,429 ;573 ;38,698 ;2,919 ;9,051 ;5,208 ;12,926 ;354 ;
31 ;Baldringe ;16 313 ;41 ;1 ;26 ;10 ;2 ;- ;1 ;1 ;- ;13 ;2,240 ;28 ;1,210 ;158 ;206 ;169 ;347 ;7 ;
32 ;Bjäresjö ;23:938 ;50 ;11 ;8 ;1 ;- ;1 ;12 ;14 ;3 ;30 ;1,855 ;22 ;1,511 ;33 ;70 ;290 ;449 ;19 ;
33 ;Borrie ;5:187 ;10 ;;- ;;--- ;- ;- ;9 ;1 ;- ;408 ;4 ;387 ;2 ;- ;63 ;148 ;2 ;
34 ;Bromma ;15:477 ;114 ;36 ;60 ;2 ;-- ;3 ;6 ;7 ;- ;1 ;969 ;40 ;822 ;18 ;;113 ;285 ;22 ;
35 ;Hedeskoga ;12-896 ;55 ;21 ;15 ;2 ;- ;3 ;12 ;2 ;- ;10 ;774 ;16 ;661 ;35 ;2 ;115 ;225 ;6 ;
36 ;Högestad ;14875 ;21 ;;2 ;1 ;- ;- ;14 ;2 ;2 ;15 ;1,321 ;20 ;931 ;32 ;90 ;139 ;289 ;4 ;
37 ;Stora Herrestad ;35:542 ;147 ;45 ;88 ;3 ;3 ;;4 ;3 ;1 ;- ;2,109 ;42 ;1,643 ;12 ;36 ;271 ;464 ;6 ;
38 ;Stora Köpinge ;43:375 ;204 ;60 ;107 ;23 ;- ;1 ;4 ;8 ;1 ;- ;3,074 ;51 ;2,314 ;76 ;108 ;345 ;606 ;26 ;
39 ;Söfvestad ;32-063 ;76 ;;;2 ;1 ;- ;32 ;40 ;1 ;16 ;3,907 ;66 ;2,631 ;79 ;35 ;373 ;981 ;87 ;
40 ;Õja ;15 917 ;53 ;24 ;21 ;2 ;1 ;1 ;3 ;1 ;- ;7 ;712 ;25 ;559 ;69 ;--- ;96 ;166 ;- ;
;Herrestads härad ;215.583 ;771 ;198 ;327 ;46 ;7 ;9 ;88 ;87 ;9 ;92 ;17,369 ;314 ;12,669 ;514 ;547 ;1,979 ;3,960 ;179 ;
41 ;Balkikra ;17:875 ;48 ;16 ;15 ;6 ;1 ;- ;9 ;1 ;- ;6 ;1,042 ;11 ;786 ;87 ;130 ;145 ;243 ;6 ;
42 ;Katslösa ;11:063 ;93 ;19 ;61 ;4 ;1 ;1 ;7 ;- ;- ;- ;950 ;15 ;865 ;20 ;18 ;132 ;322 ;16 ;
43 ;Sjörup ;16:583 ;225 ;113 ;103 ;3 ;1 ;;2 ;3 ;- ;- ;1,492 ;26 ;1,325 ;31 ;38 ;208 ;488 ;21 ;
44 ;Skirby ;17-104 ;117 ;20 ;76 ;13 ;2 ;1 ;2 ;2 ;1 ;4 ;1,999 ;30 ;1,619 ;39 ;249 ;299 ;513 ;17 ;
45 ;Spärestad ;8.875 ;114 ;57 ;37 ;5 ;1 ;;9 ;5 ;- ;- ;1,218 ;32 ;1,036 ;36 ;40 ;144 ;366 ;11 ;
46 ;Villie. ;24:594 ;220 ;64 ;119 ;9 ;2 ;7 ;19 ;- ;- ;5 ;2,961 ;59 ;2,409 ;20 ;298 ;404 ;725 ;37 ;
47 ;Västra Nöbbelöf ;17:458 ;142 ;75 ;39 ;15 ;- ;7 ;3 ;3 ;- ;- ;1,137 ;20 ;990 ;43 ;1 ;147 ;396 ;3 ;
