Table: Table_1

Ladufogde, ogift ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,- - ,
Rättare ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 ,- ,- - ,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,- ,- ,- ,- ,- ,- ,- ,-- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
Hotelldrängar ,- ,- ,- ,- ,- ,- ,- ,- ,,- ,- ,- ,- ,- ,- ,- ,- ,
Tegelbruksarbetare ,- ,- ,- ,X X ,X X ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,
Volontärer till armén och flottan ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X ,X X X ,X X ,X X ,X X ,
,- ,,,,,,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,- ,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,,,,,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,





